buy_date,sell_date,buy_price,sell_price,profit,return_pct
8056,8057,262.35,261.6,-75.0,-0.2858776443682104
8069,8084,261.9,261.0,-89.99999999999773,-0.34364261168384014
8103,8130,259.65,261.2,155.00000000000114,0.5969574427113467
8141,8153,262.0,262.75,75.0,0.2862595419847328
8197,8228,261.35,262.55,119.99999999999886,0.4591543906638564
8250,8266,264.9,269.05,415.0000000000034,1.5666289165723042
8267,8269,270.2,268.6,-159.9999999999966,-0.5921539600295951
8302,8325,265.95,266.0,5.000000000001137,0.018800526414743886
8328,8331,266.55,266.0,-55.00000000000114,-0.2063402738698223
8340,8365,266.5,267.8,130.00000000000114,0.48780487804878475
8387,8388,267.55,267.2,-35.000000000002274,-0.13081666978135778
8394,8401,268.45,266.9,-155.00000000000114,-0.5773887129819376
8415,8433,267.05,266.6,-44.99999999999886,-0.168507770080505
8435,8437,266.75,266.4,-35.000000000002274,-0.13120899718838716
8438,8440,266.75,266.5,-25.0,-0.09372071227741331
8444,8453,266.75,266.6,-14.999999999997726,-0.056232427366439464
8476,8495,266.0,270.7,469.99999999999886,1.7669172932330786
8533,8547,270.8,270.5,-30.000000000001137,-0.11078286558346062
8570,8593,269.4,270.6,120.00000000000455,0.44543429844099686
8595,8602,271.55,270.7,-85.00000000000227,-0.31301786043086827
8615,8620,270.6,269.45,-115.00000000000341,-0.4249815225425107
8625,8649,273.0,272.9,-10.000000000002274,-0.03663003663004496
8672,8676,274.4,273.5,-89.99999999999773,-0.3279883381924116
8686,8688,274.4,273.9,-50.0,-0.18221574344023325
8707,8714,273.9,273.45,-44.99999999999886,-0.16429353778750955
8726,8735,273.65,273.0,-64.99999999999773,-0.23752969121139314
8754,8774,272.5,272.45,-5.000000000001137,-0.01834862385321518
8779,8781,273.1,272.85,-25.0,-0.09154155986818015
8785,8788,273.15,272.9,-25.0,-0.09152480322167308
8817,8818,272.75,272.5,-25.0,-0.09165902841429881
8826,8839,272.9,272.25,-64.99999999999773,-0.23818248442652157
8856,8866,272.2,271.65,-55.00000000000114,-0.20205731080088588
8872,8888,274.15,273.5,-64.99999999999773,-0.23709648002917283
8910,8915,273.2,272.9,-30.000000000001137,-0.1098096632503702
8921,8926,273.4,272.6,-79.99999999999545,-0.29261155815653056
8931,8941,273.05,272.75,-30.000000000001137,-0.10986998718183899
8942,8945,273.25,272.3,-94.99999999999886,-0.3476669716376903
8958,8971,272.1,272.3,19.999999999998863,0.07350238882763271
8972,8985,272.5,272.7,19.999999999998863,0.07339449541283986
8991,8998,272.85,272.55,-30.000000000001137,-0.10995052226498493
9000,9016,273.5,278.2,469.99999999999886,1.7184643510054802
9030,9033,280.5,278.3,-219.99999999999886,-0.7843137254901921
9048,9058,280.4,281.3,90.00000000000341,0.3209700427960179
9077,9086,283.05,282.2,-85.00000000000227,-0.3003003003003083
9105,9112,281.5,280.9,-60.000000000002274,-0.2131438721136848
9125,9130,280.6,280.1,-50.0,-0.17818959372772628
9133,9136,280.65,280.0,-64.99999999999773,-0.2316052022091492
9143,9164,280.05,280.35,30.000000000001137,0.10712372790573517
9177,9178,280.8,280.55,-25.0,-0.08903133903133903
9185,9213,280.55,281.3,75.0,0.2673320263767599
9234,9243,280.8,280.2,-60.000000000002274,-0.21367521367522177
9244,9248,280.65,280.0,-64.99999999999773,-0.2316052022091492
9256,9266,280.45,280.0,-44.99999999999886,-0.16045640934212468
9274,9283,280.15,279.7,-44.99999999999886,-0.16062823487417052
9292,9306,279.9,279.5,-39.999999999997726,-0.14290818149338239
9328,9340,278.3,277.5,-80.00000000000114,-0.28745957599712946
9348,9369,277.75,279.95,219.99999999999886,0.7920792079207879
9375,9398,282.55,286.0,344.99999999999886,1.2210228278180812
9430,9446,285.1,285.65,54.99999999999545,0.1929147667484933
9463,9467,285.75,285.0,-75.0,-0.26246719160104987
